id,name,geom,type,type_validated,start_date,end_date,municipality,province,num_branches,active_1950_1959,active_1960_1969,active_1970_1979,active_1980_1989,active_1990_1999,active_2000_2009,active_2010_2019,active_2020_2029
03JE,Basisschool De Ark,POINT(5.1050283 51.9964381),BAS,True,1-8-1985,,VIANEN UT,Utrecht,1,False,False,False,True,True,True,True,True
03JH,Kindcentrum Het IJzeren Kind,POINT(5.3420542 51.6966879),BAS,True,1-8-1985,,ROSMALEN,Noord-Brabant,1,False,False,False,True,True,True,True,True
03JI,Rooms Katholieke Basisschool Gerardus Majella,POINT(5.9780717 52.2888711),BAS,True,1-8-1985,,VAASSEN,Gelderland,1,False,False,False,True,True,True,True,True
03JL,Basisschool Titus Brandsma,POINT(4.8677619 51.7988565),BAS,True,1-8-1985,,BRUNSSUM,Limburg,2,False,False,False,True,True,True,True,True
03JP,Basisschool Talente,POINT(4.2260757 51.4936452),BAS,True,1-8-1985,,OUD GASTEL,Noord-Brabant,1,False,False,False,True,True,True,True,True
03JQ,Basisschool Harlekijn,POINT(5.8828463 51.226019),BAS,True,1-8-1985,,BAEXEM,Limburg,1,False,False,False,True,True,True,True,True
03JS,Vrije school De Zonnewende,POINT(6.2146608 52.1469028),BAS,True,1-8-1985,,ZUTPHEN,Gelderland,2,False,False,False,True,True,True,True,True
03JW,Dr EA Borgerschool,POINT(6.5612093 53.2200986),BAS,True,1-8-1985,,JOURE,Friesland,1,False,False,False,True,True,True,True,True
03JX,Katholieke basisschool de Den,POINT(5.797382022476157 50.784447150000005),BAS,True,1-8-1985,,MHEER,Limburg,1,False,False,False,True,True,True,True,True
03KA,RK Basisschool Sint Willibrordus,POINT(3.9236014 51.6500654),BAS,True,1-8-1985,,ZIERIKZEE,Zeeland,1,False,False,False,True,True,True,True,True
03KF,Jozefschool Rooms Katholiek Basisonderwijs,POINT(4.66543589248697 52.38490765),BAS,True,1-8-1985,,AALSMEER,Noord-Holland,1,False,False,False,True,True,True,True,True
03KI,Basisschool 't Bossche Hart,POINT(4.58478748921938 51.6880942),BAS,True,1-8-1985,,BOSSCHENHOOFD,Noord-Brabant,1,False,False,False,True,True,True,True,True
03KJ,Sterrenpad 't Ven,POINT(6.1924189 51.3849751),BAS,True,1-8-1985,,VENLO,Limburg,1,False,False,False,True,True,True,True,True
03KM,Ijsselwijs,POINT(4.8677619 51.7988565),BAS,True,1-8-1985,,OLST,Overijssel,1,False,False,False,True,True,True,True,True
03KP,Christelijke Basisschool Koning Willem-Alexander,POINT(6.858206965213647 53.43754245),BAS,True,1-8-1985,,UITHUIZEN,Groningen,1,False,False,False,True,True,True,True,True
03KR,Basisschool De Lichtbron - school met de Bijbel,POINT(6.8935914 52.2204351),BAS,True,1-8-1985,,HOOGEZAND,Groningen,1,False,False,False,True,True,True,True,True
03KS,RK Basissch C v Leeuwen,POINT(4.8682673 51.801082),BAS,True,1-8-1985,,EERBEEK,Gelderland,1,False,False,False,True,True,True,True,True
03KT,De Planthof,POINT(5.7368404 52.7134607),BAS,True,1-8-1985,,EMMELOORD,Flevoland,1,False,False,False,True,True,True,True,True
03KV,Basisschool Dr A Comrie,POINT(4.0291638 51.451288),BAS,True,1-8-1985,,KRUININGEN,Zeeland,1,False,False,False,True,True,True,True,True
03KW,Basisschool Comenius,POINT(5.17820676974601 52.1015489),BAS,True,1-8-1985,,ZEIST,Utrecht,1,False,False,False,True,True,True,True,True
03KX,Protestant Christelijke Basisschool De Fontein,POINT(4.66543589248697 52.38490765),BAS,True,1-8-1985,,DEN BURG,Noord-Holland,1,False,False,False,True,True,True,True,True
03LA,St. Petrusschool,POINT(4.3474795 51.9806293),BAS,True,1-8-1985,,DIEMEN,Noord-Holland,1,False,False,False,True,True,True,True,True
03LC,Christelijke Basisschool De Fontein,POINT(6.0920207 52.512764),BAS,True,1-8-1985,,SLEEN,Drenthe,1,False,False,False,True,True,True,True,True
03LD,Basisschool Neel,POINT(4.8677619 51.7988565),BAS,True,1-8-1985,,ROERMOND,Limburg,2,False,False,False,True,True,True,True,True
03LE,Basisschool De Steenen Brug,POINT(5.9836065 51.1896439),BAS,True,1-8-1985,,ROERMOND,Limburg,1,False,False,False,True,True,True,True,True
03LK,Kindcentrum De Oersprong,POINT(6.264248431753151 51.874374),BAS,True,1-8-1985,,ULFT,Gelderland,1,False,False,False,True,True,True,True,True
03LQ,Ds Joannes Beukelmanschool,POINT(4.6686189 51.8703523),BAS,True,1-8-1985,,ALBLASSERDAM,Zuid-Holland,2,False,False,False,True,True,True,True,True
03LR,CBS Remmelt Booy,POINT(6.8935824 52.2210791),BAS,True,1-8-1985,,DOEZUM,Groningen,1,False,False,False,True,True,True,True,True
03LS,Klim Op School,POINT(6.5262884 52.3041427),BAS,True,1-8-1985,,RIJSSEN,Overijssel,1,False,False,False,True,True,True,True,True
03LT,St Nicolaasschool,POINT(4.8689263 51.798914),BAS,True,1-8-1985,,NIJMEGEN,Gelderland,1,False,False,False,True,True,True,True,True
03LX,Drie Koningenschool,POINT(6.0920207 52.512764),BAS,True,1-8-1985,,DE MEERN,Utrecht,1,False,False,False,True,True,True,True,True
03LY,Rooms Katholieke Basisschool Laurentius,POINT(4.3471538 51.9808535),BAS,True,1-8-1985,,BREDA,Noord-Brabant,1,False,False,False,True,True,True,True,True
03MA,Basissch Klimop,POINT(4.8682673 51.801082),BAS,True,1-8-1985,,MEGEN,Noord-Brabant,1,False,False,False,True,True,True,True,True
03MF,Basisschool Rehoboth,POINT(5.7827318 52.2561485),BAS,True,1-8-1985,,UDDEL,Gelderland,1,False,False,False,True,True,True,True,True
03MH,Basisschool Petrus en Paulus,POINT(5.4988147 51.6051733),BAS,True,1-8-1985,,VEGHEL,Noord-Brabant,1,False,False,False,True,True,True,True,True
